Speaker	SentType	Sweep	Question	Diff	Diffn	Word	FocusType	PosInSent	Min	Max	Clench	NormMin
BNY	1	0003	Q1	0.0375%	0.000375	1. cat	Broad	1	-22.822511460093782	-16.41	-12.58414	-10.238371460093783
BNY	1	0003	Q1	0.0375%	0.000375	2. sat	Broad	2	-20.271880417986544	-15.949859764812555	-12.58414	-7.687740417986545
BNY	1	0003	Q1	0.0375%	0.000375	3. rat	Broad	3	-21.410194114956877	-17.85990503947945	-12.58414	-8.826054114956877
BNY	1	0003	Q1	0.0375%	0.000375	4. hat	Broad	4	-22.26103374580699	-18.41	-12.58414	-9.676893745806991
BNY	1	0004	Q3	0.0011%	1.1000000000000001e-05	1. cat	NonNarrow	1	-21.691630725027295	-16.7	-12.58414	-9.107490725027295
BNY	1	0004	Q3	0.0011%	1.1000000000000001e-05	2. sat	NonNarrow	2	-20.0161981814578	-16.148881577134638	-12.58414	-7.4320581814577995
BNY	1	0004	Q3	0.0011%	1.1000000000000001e-05	3. rat	Narrow	3	-23.28419901307185	-17.41997192481848	-12.58414	-10.700059013071849
BNY	1	0004	Q3	0.0011%	1.1000000000000001e-05	4. hat	NonNarrow	4	-22.08259184136562	-18.45	-12.58414	-9.49845184136562
BNY	1	0005	Q5	0.4833%	0.0048330000000000005	1. cat	Narrow	1	-24.710044693911374	-19.03	-12.58414	-12.125904693911375
BNY	1	0005	Q5	0.4833%	0.0048330000000000005	2. sat	NonNarrow	2	-21.413989886115587	-16.46976785424982	-12.58414	-8.829849886115587
BNY	1	0005	Q5	0.4833%	0.0048330000000000005	3. rat	NonNarrow	3	-22.360804063351956	-17.126636024592077	-12.58414	-9.776664063351957
BNY	1	0005	Q5	0.4833%	0.0048330000000000005	4. hat	NonNarrow	4	-22.36000183954473	-18.8198648728894	-12.58414	-9.77586183954473
BNY	1	0006	Q4	0.0082%	8.200000000000001e-05	1. cat	NonNarrow	1	-21.303103560123017	-15.93	-12.58414	-8.718963560123017
BNY	1	0006	Q4	0.0082%	8.200000000000001e-05	2. sat	NonNarrow	2	-20.24391736605826	-15.61826404891935	-12.58414	-7.659777366058259
BNY	1	0006	Q4	0.0082%	8.200000000000001e-05	3. rat	NonNarrow	3	-22.222586416463162	-17.62	-12.58414	-9.638446416463163
BNY	1	0006	Q4	0.0082%	8.200000000000001e-05	4. hat	Narrow	4	-24.190029341740846	-19.02	-12.58414	-11.605889341740847
BNY	1	0007	Q2	0.1554%	0.001554	1. cat	NonNarrow	1	-20.442761840128004	-16.5	-12.58414	-7.858621840128004
BNY	1	0007	Q2	0.1554%	0.001554	2. sat	Narrow	2	-23.420053147291274	-15.5698533133341	-12.58414	-10.835913147291274
BNY	1	0007	Q2	0.1554%	0.001554	3. rat	NonNarrow	3	-21.703068970341267	-16.598817778624746	-12.58414	-9.118928970341267
BNY	1	0007	Q2	0.1554%	0.001554	4. hat	NonNarrow	4	-21.60003598755631	-18.1	-12.58414	-9.015895987556311
BNY	1	0008	Q1	0.0081%	8.1e-05	1. cat	Broad	1	-21.062368031018497	-16.55	-12.58414	-8.478228031018498
BNY	1	0008	Q1	0.0081%	8.1e-05	2. sat	Broad	2	-21.542634403593155	-16.25922687289071	-12.58414	-8.958494403593155
BNY	1	0008	Q1	0.0081%	8.1e-05	3. rat	Broad	3	-21.95348901459592	-18.208915354631195	-12.58414	-9.36934901459592
BNY	1	0008	Q1	0.0081%	8.1e-05	4. hat	Broad	4	-22.740043116855922	-18.58	-12.58414	-10.155903116855923
